SYMBOL,AVG_30D_VOLUME
1018GS2026,1915.4761904761904
20MICRONS,327242.97777777776
21STCENMGM,5763.577777777778
360ONE,1015369.7444444444
3BBLACKBIO,13982.41111111111
3IINFOLTD,621056.2111111111
3MINDIA,4772.355555555556
3PLAND,4992.211111111111
574GS2026,915.8550724637681
577GS2030,41.666666666666664
579GS2030,450.57142857142856
585GS2030,671.75
591GS2028,8469.3
5PAISA,59819.03333333333
601GS2028,912.1176470588235
601GS2030,8772.521739130434
603GS2029,601.6
610GS2031,208.3793103448276
613GS2028,480.0
619GS2034,36846.545454545456
620GS2029,9498.25
622GS2035,1773.888888888889
628GS2032,1769.1666666666667
633GS2035,2574.358974358974
636GS2031,9559.483870967742
63MOONS,529576.4777777778
645GS2029,38162.76190476191
648GS2035,13940.207792207791
654GS2032,6921.833333333333
657GS2033,2000.0
657GS2033A,2675.0
662GS2051,1508.6666666666667
664GS2027,381.8965517241379
664GS2035,8438.423076923076
667GS2035,1423.923076923077
667GS2050,1961.7162162162163
668GS2033,884.3
668GS2040,61818.50574712644
675GS2029,1659.4705882352941
676GS2061,44696.2
679GS2027,1275000.0
679GS2031,1583.6774193548388
679GS2034,8244.958333333334
679GS2034A,130.5
68GS2060,943.2153846153847
690GS2065,43067.3
692GS2039,758.6333333333333
694GS2036,2066.7236842105262
695GS2061,2025.0243902439024
697GR2034,399.76666666666665
698GR2054,467.7
699GS2051,4289.231707317073
702GS2027,3799.1428571428573
702GS2031,2005.871794871795
704GS2029,3281.0
706GS2028,8095.787878787879
706GS2041,3858.35
706GS2046,1307.264705882353
709GS2054,24483.12222222222
709GS2074,23781.865168539327
710GS2029,8770.77027027027
716GS2050,1921.695652173913
717GS2028,153.0952380952381
717GS2030,9506.382978723404
718GS2033,19008.33962264151
718GS2037,38036.24096385542
719GS2060,449.9655172413793
71GS2034,4976.717391304348
723GS2039,5372.487804878048
724GS2055,60482.5
725GR2028,99.0
725GS2063,285529.1777777778
726GS2029,90.66666666666667
726GS2032,11484.77922077922
726GS2033,21999.853658536584
732GS2030,2457.061224489796
733GS2026,951.0769230769231
734GS2064,203940.48888888888
735NABAR31,42.0
736GS2052,2931.64406779661
737GR2054,258.45454545454544
737GS2028,5058.974683544304
738GS2027,69391.3
73GS2053,22153.15294117647
740IIFCL33,323.85714285714283
741GS2036,17458.238095238095
743GS2076,74305.01149425287
746GS2073,6463.518987341772
74GS2035,1023.5
74GS2062,1693.2380952380952
750GS2056,1050.402985074627
754GS2036,499126.7111111111
757GS2033,206906.8
759GS2029,2000000.0
75GS2034,11063.125
762GS2039,1932.1
763GS2059,238.71428571428572
769GS2043,504.0
771GS2066,10978.605263157895
772GS2049,60.57142857142857
772GS2055,435.10526315789474
788GS2030,1000000.0
795GS2032,468.65
813GS2045,3.090909090909091
817GS2044,350.5
824GS2027,1749.9649122807018
824GS2033,2000.0
826GS2027,62.15384615384615
828GS2027,3.0
828GS2032,4988.333333333333
832GS2032,5569.125
833GS2026,95.4
833GS2036,3.0
83GS2042,455.0
86GS2028,338.0
883GS2041,200.88888888888889
897GS2030,3879.7272727272725
92GS2030,12511.313953488372
A2ZINFRA,304901.55555555556
AAATECH,20800.633333333335
AADHARHFC,493642.64444444445
AAKAAR,12938.271604938273
AAKASH,152281.46666666667
AARADHYA,12662.686567164179
AAREYDRUGS,91863.67777777778
AARNAV,125497.91111111111
AARON,26223.755555555555
AARTECH,127984.58888888889
AARTIDRUGS,178012.61111111112
AARTIIND,1295336.5777777778
AARTIPHARM,499509.52222222224
AARTISURF,18829.353535353537
AARVI,48906.26666666667
AASTHA,3516545.6808510637
AATMAJ,6960.0
AAVAS,136940.33333333334
ABAN,78443.8813559322
ABANSENT,15933.444444444445
ABB,350647.9888888889
ABBOTINDIA,11126.0
ABCAPITAL,3858321.888888889
ABCOTS,76275.48888888888
ABDL,467787.4666666667
ABFRL,5304016.888888889
ABGSEC,649.2682926829268
ABH,74400.0
ABHAPOWER,10605.128205128205
ABINFRA,5224990.588888889
ABLBL,1305929.888888889
ABMINTLLTD,2701.95
ABMKNO,2369.6666666666665
ABREL,218653.45555555556
ABSL10BANK,69435.87777777777
ABSLAMC,356112.3333333333
ABSLBANETF,200644.9
