Symbol,Company Name,Nifty 50,Nifty 100,Nifty Total Market,Nifty Midcap 150,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 500
INDGN,Indegene Ltd.,No,No,Yes,No,No,Yes,Yes
INDHOTEL,Indian Hotels Co. Ltd.,No,Yes,Yes,No,No,No,No
INDIACEM,India Cements Ltd.,No,No,Yes,No,No,Yes,Yes
INDIAGLYCO,India Glycols Ltd.,No,No,Yes,No,No,No,Yes
INDIAMART,Indiamart Intermesh Ltd.,No,No,Yes,No,No,Yes,Yes
INDIANB,Indian Bank,No,No,Yes,Yes,Yes,No,No
INDIASHLTR,India Shelter Finance Corporation Ltd.,No,No,Yes,No,No,No,Yes
INDIGO,InterGlobe Aviation Ltd.,Yes,Yes,Yes,No,No,No,No
INDIGOPNTS,Indigo Paints Ltd.,No,No,Yes,No,No,No,Yes
INDUSINDBK,IndusInd Bank Ltd.,No,No,Yes,Yes,Yes,No,No
INDUSTOWER,Indus Towers Ltd.,No,No,Yes,Yes,Yes,No,No
INFY,Infosys Ltd.,Yes,Yes,Yes,No,No,No,No
INOXGREEN,Inox Green Energy Services Ltd.,No,No,Yes,No,No,No,Yes
INOXINDIA,INOX India Ltd.,No,No,Yes,No,No,No,Yes
INOXWIND,Inox Wind Ltd.,No,No,Yes,No,No,Yes,Yes
INTELLECT,Intellect Design Arena Ltd.,No,No,Yes,No,No,Yes,Yes
IOB,Indian Overseas Bank,No,No,Yes,No,No,Yes,Yes
IOC,Indian Oil Corporation Ltd.,No,Yes,Yes,No,No,No,No
IONEXCHANG,Ion Exchange (India) Ltd.,No,No,Yes,No,No,No,Yes
IPCALAB,Ipca Laboratories Ltd.,No,No,Yes,Yes,No,No,No
IRB,IRB Infrastructure Developers Ltd.,No,No,Yes,No,No,Yes,Yes
IRCON,IRCON International Ltd.,No,No,Yes,No,No,Yes,Yes
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,No,No,Yes,Yes,Yes,No,No
IREDA,Indian Renewable Energy Development Agency Ltd.,No,No,Yes,Yes,Yes,No,No
IRFC,Indian Railway Finance Corporation Ltd.,No,Yes,Yes,No,No,No,No
ITC,ITC Ltd.,Yes,Yes,Yes,No,No,No,No
ITCHOTELS,ITC Hotels Ltd.,No,No,Yes,Yes,No,No,No
ITI,ITI Ltd.,No,No,Yes,No,No,Yes,Yes
IXIGO,Le Travenues Technology Ltd.,No,No,Yes,No,No,No,Yes
J&KBANK,Jammu & Kashmir Bank Ltd.,No,No,Yes,No,No,Yes,Yes
JAIBALAJI,JAI BALAJI INDUSTRIES Ltd.,No,No,Yes,No,No,No,Yes
JAINREC,Jain Resource Recycling Ltd.,No,No,Yes,No,No,Yes,Yes
JAMNAAUTO,Jamna Auto Industries Ltd.,No,No,Yes,No,No,No,Yes
JAYNECOIND,Jayaswal Neco Industries Ltd.,No,No,Yes,No,No,No,Yes
JBCHEPHARM,,No,No,Yes,No,No,No,No
JBMA,JBM Auto Ltd.,No,No,Yes,No,No,Yes,Yes
JINDALSAW,Jindal Saw Ltd.,No,No,Yes,No,No,Yes,Yes
JINDALSTEL,Jindal Steel Ltd.,No,Yes,Yes,No,No,No,No
JIOFIN,Jio Financial Services Ltd.,Yes,Yes,Yes,No,No,No,No
JKCEMENT,J.K. Cement Ltd.,No,No,Yes,Yes,No,No,No
JKLAKSHMI,JK Lakshmi Cement Ltd.,No,No,Yes,No,No,No,Yes
JKPAPER,JK Paper Ltd.,No,No,Yes,No,No,No,Yes
JKTYRE,JK Tyre & Industries Ltd.,No,No,Yes,No,No,Yes,Yes
JLHL,Jupiter Life Line Hospitals Ltd.,No,No,Yes,No,No,No,Yes
JMFINANCIL,JM Financial Ltd.,No,No,Yes,No,No,Yes,Yes
JPPOWER,Jaiprakash Power Ventures Ltd.,No,No,Yes,No,No,Yes,Yes
JSFB,Jana Small Finance Bank Ltd.,No,No,Yes,No,No,No,Yes
JSL,Jindal Stainless Ltd.,No,No,Yes,Yes,No,No,No
JSLL,Jeena Sikho Lifecare Ltd.,No,No,Yes,No,No,No,Yes
JSWCEMENT,JSW Cement Ltd.,No,No,Yes,No,No,Yes,Yes
JSWDULUX,JSW Dulux Ltd.,No,No,Yes,No,No,Yes,Yes
JSWENERGY,JSW Energy Ltd.,No,No,Yes,Yes,Yes,No,No
JSWHL,JSW Holdings Ltd.,No,No,No,No,No,No,Yes
JSWINFRA,JSW Infrastructure Ltd.,No,No,Yes,Yes,No,No,No
JSWSTEEL,JSW Steel Ltd.,Yes,Yes,Yes,No,No,No,No
JUBLFOOD,Jubilant Foodworks Ltd.,No,No,Yes,Yes,Yes,No,No
JUBLINGREA,Jubilant Ingrevia Ltd.,No,No,Yes,No,No,Yes,Yes
JUBLPHARMA,Jubilant Pharmova Ltd.,No,No,Yes,No,No,Yes,Yes
JUSTDIAL,Justdial Ltd.,No,No,Yes,No,No,No,Yes
JWL,Jupiter Wagons Ltd.,No,No,Yes,No,No,Yes,Yes
JYOTHYLAB,Jyothy Labs Ltd.,No,No,Yes,No,No,No,Yes
JYOTICNC,Jyoti CNC Automation Ltd.,No,No,Yes,No,No,Yes,Yes
KAJARIACER,Kajaria Ceramics Ltd.,No,No,Yes,No,No,Yes,Yes
KALYANKJIL,Kalyan Jewellers India Ltd.,No,No,Yes,Yes,Yes,No,No
KANSAINER,Kansai Nerolac Paints Ltd.,No,No,Yes,No,No,No,Yes
KARURVYSYA,Karur Vysya Bank Ltd.,No,No,Yes,No,No,Yes,Yes
KAYNES,Kaynes Technology India Ltd.,No,No,Yes,No,No,Yes,Yes
KEC,Kec International Ltd.,No,No,Yes,No,No,Yes,Yes
KEI,KEI Industries Ltd.,No,No,Yes,Yes,Yes,No,No
KFINTECH,Kfin Technologies Ltd.,No,No,Yes,No,No,Yes,Yes
KIMS,Krishna Institute of Medical Sciences Ltd.,No,No,Yes,No,No,Yes,Yes
KIRLOSBROS,Kirloskar Brothers Ltd.,No,No,Yes,No,No,No,Yes
KIRLOSENG,Kirloskar Oil Eng Ltd.,No,No,Yes,No,No,Yes,Yes
KIRLPNU,Kirloskar Pneumatic Company Ltd.,No,No,Yes,No,No,No,Yes
KITEX,Kitex Garments Ltd.,No,No,Yes,No,No,No,No
KNRCON,KNR Constructions Ltd.,No,No,Yes,No,No,No,Yes
KOTAKBANK,Kotak Mahindra Bank Ltd.,Yes,Yes,Yes,No,No,No,No
KPIGREEN,KPI Green Energy Ltd.,No,No,Yes,No,No,No,Yes
KPIL,Kalpataru Projects International Ltd.,No,No,Yes,No,No,Yes,Yes
KPITTECH,KPIT Technologies Ltd.,No,No,Yes,Yes,Yes,No,No
KPRMILL,K.P.R. Mill Ltd.,No,No,Yes,Yes,No,No,No
KRBL,KRBL Ltd.,No,No,Yes,No,No,No,Yes
KRN,KRN HEAT EXCHANGER AND REFRIGERATION Ltd.,No,No,Yes,No,No,No,Yes
KSB,KSB Ltd.,No,No,Yes,No,No,No,Yes
KSCL,Kaveri Seed Company Ltd.,No,No,Yes,No,No,No,Yes
KTKBANK,Karnataka Bank Ltd.,No,No,Yes,No,No,No,Yes
LALPATHLAB,Dr. Lal Path Labs Ltd.,No,No,Yes,No,No,Yes,Yes
LATENTVIEW,Latent View Analytics Ltd.,No,No,Yes,No,No,Yes,Yes
LAURUSLABS,Laurus Labs Ltd.,No,No,Yes,Yes,Yes,No,No
LEMONTREE,Lemon Tree Hotels Ltd.,No,No,Yes,No,No,Yes,Yes
LENSKART,Lenskart Solutions Ltd.,No,No,Yes,Yes,Yes,No,No
LGEINDIA,LG Electronics India Ltd.,No,No,Yes,Yes,Yes,No,No
LICHSGFIN,LIC Housing Finance Ltd.,No,No,Yes,Yes,Yes,No,No
LICI,Life Insurance Corporation of India,No,No,Yes,Yes,No,No,No
LINDEINDIA,Linde India Ltd.,No,No,Yes,Yes,No,No,No
LLOYDSENGG,Lloyds Engineering Works Ltd.,No,No,Yes,No,No,No,Yes
LLOYDSENT,Lloyds Enterprises Ltd.,No,No,Yes,No,No,No,Yes
LLOYDSME,Lloyds Metals And Energy Ltd.,No,No,Yes,Yes,No,No,No
LODHA,Lodha Developers Ltd.,No,Yes,Yes,No,No,No,No
LOTUSDEV,SRI LOTUS DEVELOPERS AND REALTY Ltd.,No,No,Yes,No,No,No,Yes
LT,Larsen & Toubro Ltd.,Yes,Yes,Yes,No,No,No,No
LTF,L&T Finance Ltd.,No,No,Yes,Yes,Yes,No,No
LTFOODS,LT Foods Ltd.,No,No,Yes,No,No,Yes,Yes
LTM,LTM Ltd.,No,Yes,Yes,No,No,No,No
LTTS,L&T Technology Services Ltd.,No,No,Yes,Yes,No,No,No
LUMAXTECH,Lumax Auto Technologies Ltd.,No,No,Yes,No,No,No,Yes
LUPIN,Lupin Ltd.,No,No,Yes,Yes,Yes,No,No
LXCHEM,Laxmi Organic Industries Ltd.,No,No,Yes,No,No,No,Yes
M&M,Mahindra & Mahindra Ltd.,Yes,Yes,Yes,No,No,No,No
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,No,No,Yes,Yes,Yes,No,No
MAHABANK,Bank of Maharashtra,No,No,Yes,Yes,No,No,No
MAHSCOOTER,Maharashtra Scooters Ltd.,No,No,Yes,No,No,No,Yes
MAHSEAMLES,Maharashtra Seamless Ltd.,No,No,Yes,No,No,No,Yes
MANAPPURAM,Manappuram Finance Ltd.,No,No,Yes,No,No,Yes,Yes
MANKIND,Mankind Pharma Ltd.,No,No,Yes,Yes,Yes,No,No
MANORAMA,Manorama Industries Ltd.,No,No,Yes,No,No,No,Yes
MANYAVAR,Vedant Fashions Ltd.,No,No,Yes,No,No,No,Yes
MAPMYINDIA,C.E. Info Systems Ltd.,No,No,Yes,No,No,Yes,Yes
MARICO,Marico Ltd.,No,No,Yes,Yes,Yes,No,No
MARKSANS,Marksans Pharma Ltd.,No,No,Yes,No,No,No,Yes
MARUTI,Maruti Suzuki India Ltd.,Yes,Yes,Yes,No,No,No,No
MASTEK,Mastek Ltd.,No,No,Yes,No,No,No,Yes
MAXHEALTH,Max Healthcare Institute Ltd.,Yes,Yes,Yes,No,No,No,No
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,No,Yes,Yes,No,No,No,No
MCX,Multi Commodity Exchange of India Ltd.,No,No,Yes,Yes,Yes,No,No
MEDANTA,Global Health Ltd.,No,No,Yes,Yes,No,No,No
MEDPLUS,Medplus Health Services Ltd.,No,No,Yes,No,No,No,Yes
MEESHO,Meesho Ltd.,No,No,Yes,No,No,Yes,Yes
METROBRAND,Metro Brands Ltd.,No,No,No,No,No,No,Yes
METROPOLIS,Metropolis Healthcare Ltd.,No,No,Yes,No,No,No,Yes
MFSL,Max Financial Services Ltd.,No,No,Yes,Yes,Yes,No,No
MGL,Mahanagar Gas Ltd.,No,No,Yes,No,No,Yes,Yes
MIDHANI,Mishra Dhatu Nigam Ltd.,No,No,Yes,No,No,No,Yes
MINDACORP,Minda Corporation Ltd.,No,No,Yes,No,No,Yes,Yes
MMTC,MMTC Ltd.,No,No,Yes,No,No,Yes,Yes
MOIL,MOIL Ltd.,No,No,Yes,No,No,No,Yes
MOTHERSON,Samvardhana Motherson International Ltd.,No,Yes,Yes,No,No,No,No
MOTILALOFS,Motilal Oswal Financial Services Ltd.,No,No,Yes,Yes,Yes,No,No
MPHASIS,MphasiS Ltd.,No,No,Yes,Yes,Yes,No,No
MRF,MRF Ltd.,No,No,Yes,Yes,Yes,No,No
MRPL,Mangalore Refinery & Petrochemicals Ltd.,No,No,Yes,No,No,Yes,Yes
MSTCLTD,MSTC Ltd.,No,No,Yes,No,No,No,Yes
MSUMI,Motherson Sumi Wiring India Ltd.,No,No,Yes,No,No,Yes,Yes
MTARTECH,MTAR Technologies Ltd.,No,No,Yes,No,No,No,Yes
MUTHOOTFIN,Muthoot Finance Ltd.,No,Yes,Yes,No,No,No,No
NAM-INDIA,Nippon Life India Asset Management Ltd.,No,No,Yes,Yes,No,No,No
NATCOPHARM,NATCO Pharma Ltd.,No,No,Yes,No,No,Yes,Yes
NATIONALUM,National Aluminium Co. Ltd.,No,No,Yes,Yes,Yes,No,No
NAUKRI,Info Edge (India) Ltd.,No,No,Yes,Yes,Yes,No,No
NAVA,Nava Ltd.,No,No,Yes,No,No,Yes,Yes
NAVINFLUOR,Navin Fluorine International Ltd.,No,No,Yes,No,No,Yes,Yes
NAZARA,Nazara Technologies Ltd.,No,No,Yes,No,No,No,Yes
NBCC,NBCC (India) Ltd.,No,No,Yes,No,No,Yes,Yes
NCC,NCC Ltd.,No,No,Yes,No,No,Yes,Yes
NEOGEN,NEOGEN CHEMICALS LTD.,No,No,Yes,No,No,No,Yes
NESCO,NESCO Ltd.,No,No,Yes,No,No,No,Yes
NESTLEIND,Nestle India Ltd.,Yes,Yes,Yes,No,No,No,No
NETWEB,Netweb Technologies India Ltd.,No,No,Yes,No,No,Yes,Yes
NETWORK18,Network18 Media & Investments Ltd.,No,No,Yes,No,No,No,Yes
NEULANDLAB,Neuland Laboratories Ltd.,No,No,Yes,No,No,Yes,Yes
NEWGEN,Newgen Software Technologies Ltd.,No,No,Yes,No,No,Yes,Yes
NFL,National Fertilizers Ltd.,No,No,Yes,No,No,No,Yes
NH,Narayana Hrudayalaya Ltd.,No,No,Yes,No,No,Yes,Yes
NHPC,NHPC Ltd.,No,No,Yes,Yes,Yes,No,No
NIACL,The New India Assurance Company Ltd.,No,No,Yes,Yes,No,No,No
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,No,No,Yes,No,No,Yes,Yes
NLCINDIA,NLC India Ltd.,No,No,Yes,Yes,No,No,No
NMDC,NMDC Ltd.,No,No,Yes,Yes,Yes,No,No
NSLNISP,NMDC Steel Ltd.,No,No,Yes,No,No,Yes,Yes
NTPC,NTPC Ltd.,Yes,Yes,Yes,No,No,No,No
NTPCGREEN,NTPC Green Energy Ltd.,No,No,Yes,Yes,No,No,No
NUVAMA,Nuvama Wealth Management Ltd.,No,No,Yes,No,No,Yes,Yes
NUVOCO,Nuvoco Vistas Corporation Ltd.,No,No,Yes,No,No,Yes,Yes
NYKAA,FSN E-Commerce Ventures Ltd.,No,No,Yes,Yes,Yes,No,No
OBEROIRLTY,Oberoi Realty Ltd.,No,No,Yes,Yes,Yes,No,No
OFSS,Oracle Financial Services Software Ltd.,No,No,Yes,Yes,Yes,No,No
OIL,Oil India Ltd.,No,No,Yes,Yes,Yes,No,No
OLAELEC,Ola Electric Mobility Ltd.,No,No,Yes,No,No,Yes,Yes
OLECTRA,Olectra Greentech Ltd.,No,No,Yes,No,No,Yes,Yes
ONESOURCE,Onesource Specialty Pharma Ltd.,No,No,Yes,No,No,Yes,Yes
ONGC,Oil & Natural Gas Corporation Ltd.,Yes,Yes,Yes,No,No,No,No
OPTIEMUS,Optiemus Infracom Ltd.,No,No,Yes,No,No,No,Yes
ORIENTCEM,Orient Cement Ltd.,No,No,Yes,No,No,No,Yes
ORKLAINDIA,Orkla India Ltd.,No,No,Yes,No,No,No,Yes
OSWALPUMPS,Oswal Pumps Ltd.,No,No,Yes,No,No,No,Yes
PAGEIND,Page Industries Ltd.,No,No,Yes,Yes,Yes,No,No
PARADEEP,Paradeep Phosphates Ltd.,No,No,Yes,No,No,Yes,Yes
PARAS,Paras Defence and Space Technologies Ltd.,No,No,Yes,No,No,No,Yes
PARKHOSPS,Park Medi World Ltd.,No,No,Yes,No,No,No,No
PATANJALI,Patanjali Foods Ltd.,No,No,Yes,Yes,Yes,No,No
PAYTM,One 97 Communications Ltd.,No,No,Yes,Yes,Yes,No,No
PCBL,PCBL Chemical Ltd.,No,No,Yes,No,No,Yes,Yes
PCJEWELLER,PC Jeweller Ltd.,No,No,Yes,No,No,No,Yes
PERSISTENT,Persistent Systems Ltd.,No,No,Yes,Yes,Yes,No,No
PETRONET,Petronet LNG Ltd.,No,No,Yes,Yes,No,No,No
PFC,Power Finance Corporation Ltd.,No,Yes,Yes,No,No,No,No
PFIZER,Pfizer Ltd.,No,No,Yes,No,No,Yes,Yes
PFOCUS,Prime Focus Ltd.,No,No,No,No,No,Yes,Yes
PGEL,PG Electroplast Ltd.,No,No,Yes,No,No,Yes,Yes
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,No,No,No,No,No,No,Yes
PGIL,Pearl Global Industries Ltd.,No,No,Yes,No,No,No,Yes
PHOENIXLTD,Phoenix Mills Ltd.,No,No,Yes,Yes,Yes,No,No
PICCADIL,Piccadily Agro Industries Ltd.,No,No,Yes,No,No,No,Yes
PIDILITIND,Pidilite Industries Ltd.,No,Yes,Yes,No,No,No,No
PIIND,PI Industries Ltd.,No,No,Yes,Yes,Yes,No,No
PINELABS,Pine Labs Ltd.,No,No,Yes,No,No,Yes,Yes
PIRAMALFIN,Piramal Finance Ltd.,No,No,Yes,No,No,Yes,Yes
PNB,Punjab National Bank,No,Yes,Yes,No,No,No,No
PNBHOUSING,PNB Housing Finance Ltd.,No,No,Yes,No,No,Yes,Yes
PNCINFRA,PNC Infratech Ltd.,No,No,Yes,No,No,No,Yes
PNGJL,P N Gadgil Jewellers Ltd.,No,No,Yes,No,No,No,Yes
POLICYBZR,PB Fintech Ltd.,No,No,Yes,Yes,Yes,No,No
POLYCAB,Polycab India Ltd.,No,No,Yes,Yes,Yes,No,No
POLYMED,Poly Medicure Ltd.,No,No,Yes,No,No,Yes,Yes
POONAWALLA,Poonawalla Fincorp Ltd.,No,No,Yes,No,No,Yes,Yes
POWERGRID,Power Grid Corporation of India Ltd.,Yes,Yes,Yes,No,No,No,No
POWERINDIA,Hitachi Energy India Ltd.,No,No,Yes,Yes,Yes,No,No
POWERMECH,Power Mech Projects Ltd.,No,No,Yes,No,No,No,Yes
PPLPHARMA,Piramal Pharma Ltd.,No,No,Yes,No,No,Yes,Yes
PRAJIND,Praj Industries Ltd.,No,No,Yes,No,No,No,Yes
PREMIERENE,Premier Energies Ltd.,No,No,Yes,Yes,Yes,No,No
PRESTIGE,Prestige Estates Projects Ltd.,No,No,Yes,Yes,Yes,No,No
PRICOLLTD,Pricol Ltd.,No,No,Yes,No,No,No,Yes
PRIVISCL,Privi Speciality Chemicals Ltd.,No,No,Yes,No,No,No,Yes
PRSMJOHNSN,Prism Johnson Ltd.,No,No,Yes,No,No,No,Yes
PRUDENT,Prudent Corporate Advisory Services Ltd.,No,No,Yes,No,No,No,Yes
PTC,PTC India Ltd.,No,No,Yes,No,No,No,Yes
PTCIL,PTC Industries Ltd.,No,No,Yes,No,No,Yes,Yes
PURVA,Puravankara Ltd.,No,No,Yes,No,No,No,Yes
PVRINOX,PVR INOX Ltd.,No,No,Yes,No,No,Yes,Yes
PWL,Physicswallah Ltd.,No,No,Yes,No,No,Yes,Yes
QPOWER,QUALITY POWER ELECTRICAL EQUIPMENTS Ltd.,No,No,Yes,No,No,No,Yes
QUESS,Quess Corp Ltd.,No,No,Yes,No,No,No,Yes
RADICO,Radico Khaitan Ltd,No,No,Yes,Yes,Yes,No,No
RAILTEL,Railtel Corporation Of India Ltd.,No,No,Yes,No,No,Yes,Yes
RAIN,Rain Industries Ltd,No,No,Yes,No,No,No,Yes
RAINBOW,Rainbow Childrens Medicare Ltd.,No,No,Yes,No,No,Yes,Yes
RALLIS,Rallis India Ltd.,No,No,Yes,No,No,No,Yes
RAMCOCEM,The Ramco Cements Ltd.,No,No,Yes,No,No,Yes,Yes
RATEGAIN,Rategain Travel Technologies Ltd.,No,No,Yes,No,No,No,Yes
RATNAMANI,Ratnamani Metals & Tubes Ltd.,No,No,Yes,No,No,No,Yes
RAYMOND,Raymond Ltd.,No,No,No,No,No,No,Yes
RAYMONDLSL,Raymond Lifestyle Ltd.,No,No,Yes,No,No,No,Yes
RAYMONDREL,Raymond Realty Ltd.,No,No,No,No,No,No,Yes
RBA,Restaurant Brands Asia Ltd.,No,No,Yes,No,No,No,Yes
RBLBANK,RBL Bank Ltd.,No,No,Yes,No,No,Yes,Yes
RCF,Rashtriya Chemicals & Fertilizers Ltd.,No,No,Yes,No,No,No,Yes
RECLTD,REC Ltd.,No,Yes,Yes,No,No,No,No
REDINGTON,Redington Ltd.,No,No,Yes,No,No,Yes,Yes
REDTAPE,Redtape Ltd.,No,No,Yes,No,No,No,Yes
REFEX,Refex Industries Ltd.,No,No,Yes,No,No,No,Yes
RELAXO,Relaxo Footwears Ltd.,No,No,Yes,No,No,No,Yes
RELIANCE,Reliance Industries Ltd.,Yes,Yes,Yes,No,No,No,No
RELIGARE,Religare Enterprises Ltd.,No,No,Yes,No,No,No,Yes
RENUKA,Shree Renuka Sugars Ltd.,No,No,Yes,No,No,No,Yes
RHIM,RHI MAGNESITA INDIA LTD.,No,No,Yes,No,No,Yes,Yes
RITES,RITES Ltd.,No,No,Yes,No,No,Yes,Yes
RKFORGE,Ramkrishna Forgings Ltd.,No,No,Yes,No,No,Yes,Yes
ROUTE,Route Mobile Ltd.,No,No,Yes,No,No,No,Yes
RPOWER,Reliance Power Ltd.,No,No,Yes,No,No,Yes,Yes
RRKABEL,R R Kabel Ltd.,No,No,Yes,No,No,Yes,Yes
RSYSTEMS,R Systems International Ltd.,No,No,No,No,No,No,Yes
RTNINDIA,RattanIndia Enterprises Ltd.,No,No,Yes,No,No,No,Yes
RTNPOWER,RattanIndia Power Ltd.,No,No,Yes,No,No,No,Yes
RUBICON,Rubicon Research Ltd.,No,No,Yes,No,No,No,Yes
RVNL,Rail Vikas Nigam Ltd.,No,No,Yes,Yes,Yes,No,No
SAATVIKGL,Saatvik Green Energy Ltd.,No,No,Yes,No,No,No,Yes
SAFARI,Safari Industries (India) Ltd.,No,No,Yes,No,No,No,Yes
SAGILITY,Sagility Ltd.,No,No,Yes,No,No,Yes,Yes
SAIL,Steel Authority of India Ltd.,No,No,Yes,Yes,Yes,No,No
SAILIFE,Sai Life Sciences Ltd.,No,No,Yes,No,No,Yes,Yes
SAMHI,Samhi Hotels Ltd.,No,No,Yes,No,No,No,Yes
SAMMAANCAP,Sammaan Capital Ltd.,No,No,Yes,No,No,Yes,Yes
SANDUMA,Sandur Manganese & Iron Ores Ltd.,No,No,Yes,No,No,No,Yes
SANOFICONR,Sanofi Consumer Healthcare India Ltd.,No,No,Yes,No,No,No,No
SANSERA,Sansera Engineering Ltd.,No,No,Yes,No,No,No,Yes
SAPPHIRE,Sapphire Foods India Ltd.,No,No,Yes,No,No,Yes,Yes
SARDAEN,Sarda Energy and Minerals Ltd.,No,No,Yes,No,No,Yes,Yes
SAREGAMA,Saregama India Ltd,No,No,Yes,No,No,Yes,Yes
SBFC,SBFC Finance Ltd.,No,No,Yes,No,No,Yes,Yes
SBICARD,SBI Cards and Payment Services Ltd.,No,No,Yes,Yes,Yes,No,No
SBILIFE,SBI Life Insurance Company Ltd.,Yes,Yes,Yes,No,No,No,No
SBIN,State Bank of India,Yes,Yes,Yes,No,No,No,No
SCHAEFFLER,Schaeffler India Ltd.,No,No,Yes,Yes,No,No,No
SCHNEIDER,Schneider Electric Infrastructure Ltd.,No,No,Yes,No,No,Yes,Yes
SCI,Shipping Corporation of India Ltd.,No,No,Yes,No,No,Yes,Yes
SENCO,Senco Gold Ltd.,No,No,Yes,No,No,No,Yes
SFL,Sheela Foam Ltd.,No,No,Yes,No,No,No,Yes
SHAILY,Shaily Engineering Plastics Ltd.,No,No,Yes,No,No,No,Yes
SHAKTIPUMP,Shakti Pumps (India) Ltd.,No,No,Yes,No,No,No,Yes
SHARDACROP,Sharda Cropchem Ltd.,No,No,Yes,No,No,No,Yes
SHAREINDIA,Share India Securities Ltd.,No,No,Yes,No,No,No,No
SHILPAMED,Shilpa Medicare Ltd.,No,No,Yes,No,No,No,Yes
SHREECEM,Shree Cement Ltd.,No,Yes,Yes,No,No,No,No
SHRIPISTON,SPR Auto Technologies Ltd.,No,No,Yes,No,No,No,Yes
SHRIRAMFIN,Shriram Finance Ltd.,Yes,Yes,Yes,No,No,No,No
SHYAMMETL,Shyam Metalics and Energy Ltd.,No,No,Yes,No,No,Yes,Yes
SIEMENS,Siemens Ltd.,No,Yes,Yes,No,No,No,No
SIGNATURE,Signatureglobal (India) Ltd.,No,No,Yes,No,No,Yes,Yes
SJVN,SJVN Ltd.,No,No,Yes,Yes,No,No,No
SKFINDIA,SKF India Ltd.,No,No,Yes,No,No,No,Yes
SKFINDUS,SKF India (Industrial) Ltd.,No,No,Yes,No,No,No,Yes
SKIPPER,Skipper Ltd.,No,No,Yes,No,No,No,Yes
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,No,No,Yes,No,No,No,No
SMARTWORKS,Smartworks Coworking Spaces Ltd.,No,No,Yes,No,No,No,Yes
SMLMAH,SML Mahindra Ltd.,No,No,Yes,No,No,No,No
SOBHA,Sobha Ltd.,No,No,Yes,No,No,Yes,Yes
SOLARINDS,Solar Industries India Ltd.,No,Yes,Yes,No,No,No,No
SONACOMS,Sona BLW Precision Forgings Ltd.,No,No,Yes,No,No,Yes,Yes
SONATSOFTW,Sonata Software Ltd.,No,No,Yes,No,No,Yes,Yes
SOUTHBANK,South Indian Bank Ltd.,No,No,Yes,No,No,No,Yes
SPARC,Sun Pharma Advanced Research Company Ltd.,No,No,Yes,No,No,No,Yes
SPLPETRO,Supreme Petrochem Ltd.,No,No,Yes,No,No,Yes,Yes
SRF,SRF Ltd.,No,No,Yes,Yes,Yes,No,No
STAR,Strides Pharma Science Ltd.,No,No,Yes,No,No,No,Yes
STARCEMENT,Star Cement Ltd.,No,No,Yes,No,No,No,Yes
STARHEALTH,Star Health and Allied Insurance Company Ltd.,No,No,Yes,No,No,Yes,Yes
STLTECH,Sterlite Technologies Ltd.,No,No,Yes,No,No,No,Yes
STYL,Seshaasai Technologies Ltd.,No,No,Yes,No,No,No,No
STYRENIX,Styrenix Performance Materials Ltd.,No,No,Yes,No,No,No,Yes
SUBROS,Subros Ltd.,No,No,Yes,No,No,No,Yes
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,No,No,Yes,No,No,No,Yes
SUDEEPPHRM,Sudeep Pharma Ltd.,No,No,Yes,No,No,No,Yes
SUMICHEM,Sumitomo Chemical India Ltd.,No,No,Yes,No,No,Yes,Yes
SUNDARMFIN,Sundaram Finance Ltd.,No,No,Yes,Yes,No,No,No
SUNDRMFAST,Sundram Fasteners Ltd.,No,No,No,No,No,No,Yes
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Yes,Yes,Yes,No,No,No,No
SUNTECK,Sunteck Realty Ltd.,No,No,Yes,No,No,No,Yes
SUNTV,Sun TV Network Ltd.,No,No,Yes,No,No,Yes,Yes
SUPREMEIND,Supreme Industries Ltd.,No,No,Yes,Yes,Yes,No,No
SUPRIYA,Supriya Lifescience Ltd.,No,No,Yes,No,No,No,Yes
SURYAROSNI,Surya Roshni Ltd.,No,No,Yes,No,No,No,Yes
SUZLON,Suzlon Energy Ltd.,No,No,Yes,Yes,Yes,No,No
SWANCORP,Swan Corp Ltd.,No,No,Yes,No,No,Yes,Yes
SWIGGY,Swiggy Ltd.,No,No,Yes,Yes,Yes,No,No
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,No,No,Yes,No,No,No,Yes
SYNGENE,Syngene International Ltd.,No,No,Yes,No,No,Yes,Yes
SYRMA,Syrma SGS Technology Ltd.,No,No,Yes,No,No,Yes,Yes
TANLA,Tanla Platforms Ltd.,No,No,Yes,No,No,No,Yes
TARC,TARC Ltd.,No,No,Yes,No,No,No,Yes
TARIL,Transformers And Rectifiers (India) Ltd.,No,No,Yes,No,No,Yes,Yes
TATACAP,Tata Capital Ltd.,No,Yes,Yes,No,No,No,No
TATACHEM,Tata Chemicals Ltd.,No,No,Yes,No,No,Yes,Yes
TATACOMM,Tata Communications Ltd.,No,No,Yes,Yes,Yes,No,No
