Symbol,Company Name,Nifty 50,Nifty 100,Nifty Total Market,Nifty Midcap 150,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 500
AURIONPRO,Aurionpro Solution Ltd.,No,No,Yes,No,No,No,Yes
AUROPHARMA,Aurobindo Pharma Ltd.,No,No,Yes,Yes,Yes,No,No
AVALON,Avalon Technologies Ltd.,No,No,Yes,No,No,No,Yes
AVANTIFEED,Avanti Feeds Ltd.,No,No,Yes,No,No,No,Yes
AVL,Aditya Vision Ltd.,No,No,Yes,No,No,No,Yes
AWFIS,Awfis Space Solutions Ltd.,No,No,Yes,No,No,No,Yes
AWL,AWL Agri Business Ltd.,No,No,Yes,Yes,No,No,No
AXISBANK,Axis Bank Ltd.,Yes,Yes,Yes,No,No,No,No
AXISCADES,AXISCADES Technologies Ltd.,No,No,Yes,No,No,No,Yes
AZAD,Azad Engineering Ltd.,No,No,Yes,No,No,No,Yes
BAJAJ-AUTO,Bajaj Auto Ltd.,Yes,Yes,Yes,No,No,No,No
BAJAJELEC,Bajaj Electricals Ltd,No,No,Yes,No,No,No,Yes
BAJAJFINSV,Bajaj Finserv Ltd.,Yes,Yes,Yes,No,No,No,No
BAJAJHFL,Bajaj Housing Finance Ltd.,No,No,Yes,Yes,No,No,No
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,No,Yes,Yes,No,No,No,No
BAJFINANCE,Bajaj Finance Ltd.,Yes,Yes,Yes,No,No,No,No
BALAMINES,Balaji Amines Ltd.,No,No,Yes,No,No,No,Yes
BALKRISIND,Balkrishna Industries Ltd.,No,No,Yes,Yes,No,No,No
BALRAMCHIN,Balrampur Chini Mills Ltd.,No,No,Yes,No,No,Yes,Yes
BALUFORGE,Balu Forge Industries Ltd.,No,No,Yes,No,No,No,Yes
BANCOINDIA,Banco Products (India) Ltd.,No,No,Yes,No,No,No,Yes
BANDHANBNK,Bandhan Bank Ltd.,No,No,Yes,No,No,Yes,Yes
BANKBARODA,Bank of Baroda,No,Yes,Yes,No,No,No,No
BANKINDIA,Bank of India,No,No,Yes,Yes,Yes,No,No
BATAINDIA,Bata India Ltd.,No,No,Yes,No,No,Yes,Yes
BAYERCROP,Bayer Cropscience Ltd.,No,No,Yes,No,No,Yes,Yes
BBOX,Black Box Ltd.,No,No,Yes,No,No,No,Yes
BBTC,Bombay Burmah Trading Corporation Ltd.,No,No,Yes,No,No,Yes,Yes
BDL,Bharat Dynamics Ltd.,No,No,Yes,Yes,Yes,No,No
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,No,No,Yes,No,No,No,Yes
BEL,Bharat Electronics Ltd.,Yes,Yes,Yes,No,No,No,No
BELRISE,Belrise Industries Ltd.,No,No,Yes,No,No,Yes,Yes
BEML,BEML Ltd.,No,No,Yes,No,No,Yes,Yes
BERGEPAINT,Berger Paints India Ltd.,No,No,Yes,Yes,No,No,No
BHARATFORG,Bharat Forge Ltd.,No,No,Yes,Yes,Yes,No,No
BHARTIARTL,Bharti Airtel Ltd.,Yes,Yes,Yes,No,No,No,No
BHARTIHEXA,Bharti Hexacom Ltd.,No,No,Yes,Yes,No,No,No
BHEL,Bharat Heavy Electricals Ltd.,No,No,Yes,Yes,Yes,No,No
BIKAJI,Bikaji Foods International Ltd.,No,No,Yes,No,No,Yes,Yes
BIOCON,Biocon Ltd.,No,No,Yes,Yes,Yes,No,No
BIRLACORPN,Birla Corporation Ltd.,No,No,Yes,No,No,No,Yes
BLACKBUCK,Blackbuck Ltd.,No,No,Yes,No,No,No,Yes
BLS,BLS International Services Ltd.,No,No,Yes,No,No,Yes,Yes
BLUEDART,Blue Dart Express Ltd.,No,No,Yes,No,No,Yes,Yes
BLUEJET,Blue Jet Healthcare Ltd.,No,No,Yes,No,No,Yes,Yes
BLUESTARCO,Blue Star Ltd.,No,No,Yes,Yes,Yes,No,No
BLUESTONE,BlueStone Jewellery and Lifestyle Ltd.,No,No,Yes,No,No,No,Yes
BORORENEW,Borosil Renewables Ltd.,No,No,Yes,No,No,No,Yes
BOSCHLTD,Bosch Ltd.,No,Yes,Yes,No,No,No,No
BPCL,Bharat Petroleum Corporation Ltd.,No,Yes,Yes,No,No,No,No
BRIGADE,Brigade Enterprises Ltd.,No,No,Yes,No,No,Yes,Yes
BRITANNIA,Britannia Industries Ltd.,No,Yes,Yes,No,No,No,No
BSE,BSE Ltd.,No,No,Yes,Yes,Yes,No,No
BSOFT,Birlasoft Ltd.,No,No,Yes,No,No,Yes,Yes
CAMPUS,Campus Activewear Ltd.,No,No,Yes,No,No,No,Yes
CAMS,Computer Age Management Services Ltd.,No,No,Yes,No,No,Yes,Yes
CANBK,Canara Bank,No,Yes,Yes,No,No,No,No
CANFINHOME,Can Fin Homes Ltd.,No,No,Yes,No,No,Yes,Yes
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,No,No,Yes,No,No,Yes,Yes
CAPILLARY,Capillary Technologies India Ltd.,No,No,Yes,No,No,No,Yes
CAPLIPOINT,Caplin Point Laboratories Ltd.,No,No,Yes,No,No,Yes,Yes
CARBORUNIV,Carborundum Universal Ltd.,No,No,Yes,No,No,Yes,Yes
CARTRADE,Cartrade Tech Ltd.,No,No,Yes,No,No,Yes,Yes
