S.No.,Company,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,ROE 10Yr  %,CMP / BV,Ind PBV,Symbol,Industry
165.0,Amrutanjan Healt,507.1,23.55,1466.06,0.97,4.37,-29.84,102.97,9.48,24.84,19.17,3.95,4.16,AMRUTANJAN,Drug Manufacturers - Specialty & Generic
166.0,Rajoo Engineers,53.98,19.88,964.48,0.25,17.35,3.4,123.07,44.67,24.7,17.08,2.79,4.86,RAJOOENG,Specialty Industrial Machinery
167.0,Mayur Uniquoters,730.35,15.32,3173.5,0.82,56.12,37.79,269.23,24.71,24.47,16.48,2.76,2.02,MAYURUNIQ,Textile Manufacturing
168.0,Avanti Feeds,753.3,19.12,10263.46,1.3,116.3,-42.0,1899.86,18.32,24.38,20.21,3.2,3.11,AVANTIFEED,Packaged Foods
169.0,Expleo Solutions,883.55,9.34,1371.25,12.42,34.18,67.3,291.55,12.29,24.25,20.99,1.78,3.01,EXPLEOSOL,Information Technology Services
170.0,Caplin Point Lab,2831.1,32.2,21519.71,0.28,179.09,15.78,610.36,19.63,24.24,25.37,6.35,4.16,CAPLIPOINT,Healthcare
171.0,Veedol Corporat,1389.5,11.01,2421.09,4.19,77.92,56.88,608.57,18.49,24.09,17.91,2.34,2.3,VEEDOL,Specialty Chemicals
172.0,Kwality Pharma,3688.7,46.93,3827.48,0.0,25.62,114.75,162.35,45.63,24.08,26.22,11.55,4.16,KPL,Drug Manufacturers - Specialty & Generic
173.0,Pfizer,3999.75,23.79,18297.95,1.84,204.47,6.63,653.17,8.31,24.06,16.53,4.39,4.16,PFIZER,Healthcare
174.0,Pondy Oxides,466.25,24.03,3556.49,0.43,36.25,31.58,930.91,56.15,24.05,18.73,4.46,5.46,POCL,Specialty Chemicals
175.0,Tanfac Inds.,3425.0,109.58,7409.47,0.13,16.85,-12.92,187.18,6.35,23.9,31.46,18.32,1.3,506854,Commodity Chemicals
176.0,Master Trust,84.77,7.82,1042.81,0.0,34.65,27.81,149.79,13.77,23.85,16.94,1.29,2.21,MASTERTR,Capital Markets
177.0,Dhanuka Agritech,967.2,16.08,4311.62,0.21,36.3,-34.59,461.93,-12.56,23.76,21.41,2.59,2.36,DHANUKA,Agricultural Inputs
178.0,Bhansali Engg.,126.35,15.7,3144.29,3.13,65.6,42.95,472.15,53.34,23.75,25.4,2.95,1.45,BEPL,Chemicals
179.0,Shakti Pumps,467.1,27.18,5763.94,0.21,51.59,-46.72,858.67,37.94,23.64,21.01,3.37,6.48,SHAKTIPUMP,Specialty Industrial Machinery
180.0,Ram Ratna Wires,569.75,41.12,5318.55,0.46,35.16,127.75,1853.28,88.63,23.58,15.77,9.17,4.23,RAMRAT,Electrical Equipment & Parts
181.0,Volt.Transform.,10724.85,34.21,10850.44,0.94,91.22,14.67,543.78,28.38,23.5,17.02,6.05,5.21,VOLTAMP,Electrical Equipment & Parts
182.0,Coforge,1784.0,41.2,79027.34,0.67,531.7,96.31,5527.7,49.22,23.5,20.67,6.3,3.52,COFORGE,Information Technology
183.0,Sumitomo Chemi.,447.1,39.12,22316.74,0.29,216.53,9.3,1054.08,0.57,23.48,19.69,6.58,2.36,SUMICHEM,Chemicals
184.0,Sobhagya Mercant,1377.6,69.87,1432.57,0.0,4.08,-27.4,41.37,-20.93,23.44,27.8,6.14,2.03,512014,Diversified - Medium / Small
185.0,Kajaria Ceramics,1219.45,33.2,19162.8,1.13,171.03,52.43,1328.08,20.43,23.38,16.69,6.35,1.39,KAJARIACER,Consumer Durables
186.0,Tech Mahindra,1549.5,28.49,151875.62,3.35,1486.3,28.45,15711.9,17.68,23.12,17.4,5.08,3.52,TECHM,Information Technology
187.0,Rites,199.5,22.99,9588.04,3.99,97.78,8.88,532.2,8.67,23.05,18.3,3.58,1.71,RITES,Construction
188.0,ICRA,4383.0,21.56,4230.15,1.6,56.46,24.71,163.37,31.23,23.04,15.36,3.58,4.42,ICRA,Financial Data & Stock Exchanges
189.0,Vedant Fashions,533.6,33.62,12965.32,1.44,80.61,14.73,301.37,7.18,22.79,23.93,6.61,4.01,MANYAVAR,Apparel Manufacturing
190.0,Titan Biotech,397.65,48.49,1643.01,0.13,10.86,58.31,59.17,27.25,22.76,21.8,9.05,2.89,524717,Biotechnology
191.0,Zensar Tech.,434.7,12.4,9892.91,3.41,183.8,0.99,1508.3,8.9,22.75,15.92,2.1,3.52,ZENSARTECH,Information Technology
192.0,JSW Dulux,3194.25,37.91,14546.72,1.55,79.7,-12.42,965.0,-3.02,22.73,23.7,5.9,4.51,JSWDULUX,Consumer Durables
193.0,Kovai Medical,6086.55,25.97,6658.69,0.25,69.09,20.72,431.31,15.35,22.55,20.63,5.07,6.18,KOVAI,Medical Care Facilities
194.0,Petronet LNG,285.5,10.22,42825.0,3.48,1137.14,35.07,5557.84,-53.22,22.55,22.7,1.91,1.77,PETRONET,Oil Gas & Consumable Fuels
195.0,Tinna Rubber,979.85,28.61,1765.3,0.32,20.57,75.21,156.18,19.89,22.46,15.86,5.85,3.78,TINNARUBR,Specialty Chemicals
196.0,Privi Speci.,3591.3,40.14,14028.6,0.28,82.84,35.98,666.22,19.22,22.3,15.02,9.94,2.89,PRIVISCL,Specialty Chemicals
197.0,TPL Plastech,66.2,17.14,516.4,1.97,6.54,19.56,124.38,37.59,22.28,15.46,3.05,2.0,TPLPLASTEH,Packaging & Containers
198.0,H P C L,351.95,44.84,74888.72,6.92,-12264.67,-398.34,140584.25,26.85,22.24,21.54,1.17,1.84,HINDPETRO,Oil Gas & Consumable Fuels
199.0,Aryaman Fin.Serv,611.0,25.22,748.3,0.0,14.09,0.9,19.93,-30.77,22.2,17.79,4.65,1.79,ARYAMAN,Capital Markets
200.0,Mphasis,2230.95,22.01,42599.83,2.81,489.51,10.82,4384.05,17.46,22.09,18.77,3.89,3.52,MPHASIS,Information Technology
201.0,Elgi Equipments,602.55,41.15,19095.33,0.44,103.3,27.0,1062.2,22.56,22.07,17.47,8.55,6.48,ELGIEQUIP,Capital Goods
202.0,Coromandel Inter,1962.95,31.01,57910.25,0.57,381.56,-24.59,8164.77,15.94,22.05,21.58,4.61,1.82,COROMANDEL,Chemicals
203.0,Bikaji Foods,578.05,52.24,14493.86,0.22,64.57,2.22,678.17,8.74,21.99,16.79,8.69,4.79,BIKAJI,Fast Moving Consumer Goods
204.0,Garware Tech.,774.7,34.34,7564.79,1.16,64.6,21.68,482.37,31.35,21.98,18.64,5.66,1.68,GARFIBRES,Textile Manufacturing
205.0,Divi's Lab.,9596.0,85.35,254743.6,0.31,902.0,65.5,3080.0,27.8,21.97,18.11,15.25,4.16,DIVISLAB,Healthcare
206.0,Vadilal Inds.,7545.75,24.77,5425.41,0.58,130.91,95.45,680.06,34.24,21.96,20.26,6.37,3.96,VADILALIND,Packaged Foods
207.0,Data Pattern,4420.3,91.58,24746.56,0.23,22.06,-13.49,116.03,16.81,21.92,15.15,14.26,9.39,DATAPATTNS,Capital Goods
208.0,ICICI Lombard,1551.75,31.97,77526.63,0.87,403.17,-46.03,7088.22,10.83,21.88,17.76,4.57,4.0,ICICIGI,Financial Services
209.0,ADF Foods,270.55,30.74,2972.34,0.44,17.29,13.45,167.29,25.9,21.82,15.75,5.21,4.79,ADFFOODS,Packaged Foods
210.0,Pix Transmission,1739.5,17.98,2370.94,0.52,52.75,89.34,149.25,22.8,21.73,17.61,3.39,3.78,PIXTRANS,Specialty Industrial Machinery
211.0,Automotive Axles,1714.0,14.17,2589.85,1.85,45.6,27.66,516.82,5.61,21.55,16.33,2.37,3.65,AUTOAXLES,Auto Parts
212.0,Berger Paints,458.75,43.58,53490.38,0.89,405.01,18.22,3583.75,11.97,21.55,21.37,7.75,4.51,BERGEPAINT,Consumer Durables
213.0,Fine Organic,5089.4,35.58,15604.08,0.22,138.14,23.45,694.17,17.98,21.47,25.14,5.85,2.89,FINEORG,Specialty Chemicals
214.0,Vinati Organics,1208.0,25.07,12522.82,0.71,123.56,9.56,697.75,28.67,21.36,19.08,3.88,2.89,VINATIORGA,Specialty Chemicals
215.0,Bhatia Communic.,38.06,26.77,535.35,0.11,6.82,90.5,190.0,70.34,21.28,15.84,4.06,4.01,540956,Retail - Speciality
216.0,Blue Star,1565.05,60.89,32179.71,0.57,102.51,-21.03,3377.92,13.27,21.24,18.94,9.35,4.75,BLUESTARCO,Consumer Durables
217.0,Alkem Lab,5265.0,27.69,62950.98,1.0,520.98,-20.47,3740.15,10.95,21.24,18.42,4.56,4.16,ALKEM,Healthcare
218.0,Elantas Beck,13880.0,61.98,11003.64,0.05,70.86,80.35,283.39,34.99,21.21,17.06,9.97,2.89,ELANTAS,Specialty Chemicals
219.0,Lumax Auto Tech.,2030.2,41.73,13837.35,0.27,98.64,109.17,1363.62,32.86,21.19,16.97,11.43,3.65,LUMAXTECH,Auto Parts
220.0,Grindwell Norton,1976.3,50.18,21881.58,0.96,115.31,22.3,803.3,14.19,21.18,17.08,8.63,6.53,GRINDWELL,Building Products & Equipment
221.0,Pradeep Metals,505.0,26.34,872.14,0.49,8.35,49.91,93.71,20.87,21.18,17.19,5.31,3.65,PRADPME,Metal Fabrication
222.0,Birlasoft Ltd,274.0,12.81,7662.93,2.34,161.0,51.27,1379.4,7.35,21.15,15.84,1.88,3.52,BSOFT,Information Technology
223.0,Zydus Lifesci.,1204.5,24.73,120149.3,0.08,990.2,-35.09,8017.0,21.96,21.14,20.4,4.46,4.16,ZYDUSLIFE,Healthcare
224.0,AIA Engineering,3920.95,28.85,36590.47,0.4,300.99,-1.28,1168.02,12.42,21.12,16.38,4.57,3.98,AIAENG,Capital Goods
225.0,Rolex Rings,194.95,26.41,5114.26,0.0,60.14,22.34,304.34,4.38,21.08,24.82,4.38,3.65,ROLEXRINGS,Metal Fabrication
226.0,Navin Fluo.Intl.,8590.0,55.43,44079.21,0.18,243.31,107.67,1045.08,44.07,20.96,16.69,11.08,2.89,NAVINFLUOR,Chemicals
227.0,SPR Auto Technologies,4702.1,37.41,21811.29,0.22,147.7,8.0,1474.4,53.06,20.78,18.11,7.14,3.65,SHRIPISTON,Auto Parts
228.0,Supreme Inds.,3555.0,43.74,45158.01,1.05,280.72,38.76,2717.66,4.16,20.73,21.8,7.31,2.31,SUPREMEIND,Capital Goods
229.0,Grauer & Weil,88.26,24.97,4001.82,0.57,39.81,-8.71,298.68,17.93,20.59,16.81,3.66,1.3,GRAUWEIL,Specialty Chemicals
230.0,Symphony,588.4,1038.71,4040.62,1.53,40.0,13.96,378.0,50.6,20.58,20.63,7.38,4.75,SYMPHONY,"Furnishings, Fixtures & Appliances"
231.0,Titan Company,4873.0,74.12,432618.15,0.31,1777.0,62.88,21356.0,29.25,20.54,28.58,27.52,3.32,TITAN,Consumer Durables
232.0,Godawari Power,230.1,18.96,15491.22,0.44,222.37,2.68,1750.47,32.29,20.53,22.75,2.7,2.04,GPIL,Capital Goods
233.0,Keltech Energies,12508.6,47.78,1250.86,0.01,8.08,-1.58,183.28,27.76,20.41,15.51,8.18,8.35,506528,Chemicals
234.0,High Energy Bat.,596.55,39.05,534.74,0.51,-1.82,-333.33,7.89,-40.54,20.37,23.85,4.8,3.07,504176,Batteries
235.0,Dabur India,385.5,34.41,68386.04,2.13,586.16,14.98,3764.39,10.57,20.28,21.42,5.97,8.68,DABUR,Fast Moving Consumer Goods
236.0,Sirca Paints,410.8,34.81,2333.03,0.49,16.21,14.07,130.01,13.8,20.28,16.55,4.9,4.51,SIRCA,Specialty Chemicals
237.0,Bharat Seats,214.8,28.54,1348.9,0.7,13.21,43.9,577.83,35.3,20.19,17.0,5.89,3.65,BHARATSE,Auto Parts
238.0,Metro Brands,881.95,59.15,24043.03,0.68,95.26,-4.79,720.36,14.66,20.12,21.32,12.04,3.03,METROBRAND,Apparel Retail
239.0,AGI Infra,264.75,32.31,3309.32,0.07,27.54,37.53,96.44,5.27,20.11,26.06,7.13,2.21,AGIIL,Real Estate - Development
240.0,KEI Industries,4680.0,44.92,44741.06,0.1,274.14,40.05,3185.34,22.97,20.05,17.92,6.81,4.37,KEI,Capital Goods
241.0,Pearl Global Ind,1320.25,38.94,12196.59,0.55,99.24,50.93,1528.26,24.46,19.93,16.01,8.42,2.45,PGIL,Apparel Manufacturing
242.0,Sunshield Chem.,1154.85,27.99,1015.68,0.25,13.49,97.8,127.47,11.93,19.9,20.96,4.01,2.89,SUNSHIEL,Specialty Chemicals
243.0,Indo Amines,137.2,12.26,995.9,0.36,30.76,6.66,374.64,30.27,19.87,19.36,2.55,2.89,INDOAMIN,Chemicals
244.0,Orient Electric,162.35,29.01,3464.01,0.91,31.49,95.61,949.76,23.49,19.87,17.7,4.58,4.75,ORIENTELEC,"Furnishings, Fixtures & Appliances"
245.0,Apcotex Industri,600.0,19.31,3110.67,1.35,78.94,312.0,525.63,39.88,19.8,15.97,5.0,3.78,APCOTEXIND,Specialty Chemicals
246.0,Varun Beverages,435.25,43.48,147223.05,0.35,1525.36,15.47,8451.23,20.43,19.71,20.68,7.58,5.03,VBL,Fast Moving Consumer Goods
247.0,Magellanic Cloud,24.51,12.97,1443.79,0.12,23.7,-14.56,180.28,9.95,19.69,23.48,2.13,3.52,MCLOUD,Information Technology Services
248.0,Uno Minda,1218.4,57.5,70358.63,0.22,315.51,1.76,5556.85,23.79,19.65,16.9,10.3,3.65,UNOMINDA,Automobile and Auto Components
249.0,L G Balakrishnan,1738.5,17.36,5544.49,1.26,67.02,4.74,798.76,21.57,19.63,16.54,2.56,3.65,LGBBROSLTD,Auto Parts
250.0,K P R Mill Ltd,1108.05,41.48,37874.69,0.45,258.54,21.55,1935.52,9.58,19.58,20.41,6.62,1.68,KPRMILL,Textiles
251.0,R Systems Intl.,235.8,13.26,2794.12,2.56,55.57,-26.74,601.7,30.23,19.48,22.55,2.53,3.01,RSYSTEMS,Information Technology Services
252.0,Indus Towers,374.25,13.75,98733.31,3.7,1745.8,0.52,8431.1,4.64,19.48,21.24,2.51,2.57,INDUSTOWER,Telecommunication
253.0,Transport Corp.,874.0,14.7,6715.03,1.13,106.6,-0.75,1248.5,9.58,19.45,18.61,2.68,2.27,TCI,Integrated Freight & Logistics
254.0,Cantabil Retail,236.75,20.32,1980.14,0.63,16.33,11.32,178.82,12.69,19.37,20.76,4.14,2.45,CANTABIL,Apparel Manufacturing
255.0,Thejo Engg.,2185.0,40.99,2370.29,0.23,15.24,71.66,177.61,31.02,19.35,20.01,6.66,4.86,THEJO,Specialty Industrial Machinery
256.0,M B Agro Prod.,168.29,47.58,7373.33,0.06,32.96,16.84,416.3,1.61,19.34,21.52,13.38,1.82,MBAPL,Agricultural Inputs
257.0,Jindal Stain.,747.8,18.79,61650.11,0.54,768.66,7.73,11278.54,10.5,19.28,19.04,3.09,1.97,JSL,Metals & Mining
258.0,Safari Inds.,1464.9,43.47,7177.64,0.27,47.75,-5.43,588.58,11.51,19.27,17.21,6.44,2.09,SAFARI,Footwear & Accessories
259.0,Cera Sanitary.,5387.0,33.68,6947.92,1.4,45.31,-2.62,485.98,19.46,19.25,17.13,4.72,3.37,CERA,Building Products & Equipment
260.0,Uni Abex Alloy,4775.0,20.47,943.04,0.84,7.25,30.4,41.03,4.72,19.25,19.66,2.28,2.04,504605,Castings/Foundry
261.0,Astral,1398.6,63.46,37573.44,0.29,120.2,48.21,1578.0,15.93,19.22,17.57,9.27,2.31,ASTRAL,Capital Goods
262.0,Godrej Agrovet,657.95,27.01,12659.74,1.67,128.31,-16.21,2855.22,9.22,19.16,17.17,6.25,3.11,GODREJAGRO,Packaged Foods
263.0,Panama Petrochem,472.5,5.97,2858.31,0.62,308.91,624.8,1735.15,150.3,19.15,19.52,1.94,2.3,PANAMAPET,Oil & Gas Refining & Marketing
264.0,Filatex India,106.44,24.57,4726.49,0.28,49.14,20.65,1145.3,9.14,19.06,15.93,3.17,1.68,FILATEX,Textile Manufacturing
265.0,Crompton Gr. Con,217.95,30.92,14034.14,1.36,140.32,12.12,2022.47,11.2,18.98,23.11,4.4,4.75,CROMPTON,Consumer Durables
266.0,Marksans Pharma,337.0,29.56,15271.64,0.27,159.41,169.5,840.8,35.62,18.8,16.71,5.16,4.16,MARKSANS,Drug Manufacturers - General
267.0,Supreme Petroch.,880.8,33.77,16562.66,1.21,236.33,192.05,1692.7,22.08,18.79,24.31,6.95,1.45,SPLPETRO,Chemicals
268.0,Kaveri Seed Co.,794.0,16.39,4084.28,0.64,279.84,-14.18,742.5,-13.51,18.79,18.84,2.33,2.41,KSCL,Agricultural Inputs
269.0,Vidhi Specialty,341.6,31.84,1706.12,0.86,17.13,34.67,146.28,66.42,18.76,20.02,5.19,2.89,VIDHIING,Specialty Chemicals
270.0,Godrej Consumer,879.8,43.38,90030.38,2.27,504.52,10.55,4225.47,15.39,18.75,17.92,7.09,8.68,GODREJCP,Fast Moving Consumer Goods
271.0,Black Rose Indus,115.5,20.56,589.07,1.73,10.39,145.52,89.08,48.84,18.69,20.07,3.47,2.89,BLACKROSE,Specialty Chemicals
272.0,I O C L,136.0,5.68,192048.87,6.08,-1141.09,-123.93,266407.28,38.51,18.66,16.1,0.89,1.84,IOC,Oil Gas & Consumable Fuels
273.0,Punjab Chemicals,1087.15,19.91,1332.84,0.28,22.07,6.98,347.24,8.68,18.55,19.9,3.14,2.36,PUNJABCHEM,Chemicals
274.0,NESCO,1068.3,18.06,7527.24,0.63,99.96,3.97,211.8,9.55,18.54,15.94,2.51,2.03,NESCO,Conglomerates
275.0,Integra Engg.,182.8,42.38,629.3,0.0,4.51,-11.22,44.3,-3.13,18.52,22.94,5.66,4.86,505358,Engineering - Industrial Equipments
276.0,Share India Sec.,208.85,12.62,4570.17,0.75,124.41,47.48,448.09,31.25,18.41,23.33,1.7,2.21,SHAREINDIA,Capital Markets
277.0,Redington,406.0,17.66,31740.03,1.48,453.49,76.55,34922.47,34.57,18.39,16.57,3.13,2.54,REDINGTON,Services
278.0,V-Guard Industri,304.35,35.01,13297.45,0.49,130.25,76.37,1810.65,23.5,18.38,16.53,5.62,4.75,VGUARD,Electrical Equipment & Parts
279.0,Indian Metals,1230.8,12.7,6640.68,1.04,192.59,108.41,960.45,49.71,18.37,15.12,2.44,1.39,IMFA,Other Industrial Metals & Mining
280.0,Strides Pharma,1185.95,18.9,10931.19,0.42,165.49,0.75,1265.41,13.01,18.32,21.61,3.5,4.16,STAR,Drug Manufacturers - Specialty & Generic
281.0,Fineotex Chem,60.69,57.84,7067.39,0.23,48.21,54.78,376.63,174.77,18.3,20.05,8.02,2.89,FCL,Specialty Chemicals
282.0,VRL Logistics,290.05,18.98,5074.02,1.72,80.53,60.93,878.84,18.07,18.27,18.37,4.44,2.27,VRLLOG,Trucking
283.0,Timken India,3205.9,58.91,24114.39,0.08,115.13,10.47,929.09,14.87,18.26,16.45,8.09,6.53,TIMKEN,Capital Goods
284.0,Chamanlal Setia,293.1,11.65,1457.47,1.04,31.99,47.83,345.92,12.58,18.18,18.43,1.75,2.41,CLSEL,Packaged Foods
285.0,Sh. Rama Multi.,44.45,23.26,593.23,0.0,8.06,9.66,80.52,45.47,18.16,20.6,3.37,2.0,SHREERAMA,Packaging & Containers
286.0,Guj. Themis Bio.,417.35,111.56,5431.91,0.16,11.07,22.19,43.79,22.08,18.1,32.44,15.8,4.16,GUJTHEM,Drug Manufacturers - Specialty & Generic
287.0,Piccadily Agro,611.9,42.96,6031.63,0.17,21.44,16.33,251.18,17.42,18.01,15.46,6.69,2.19,PICCADIL,Beverages - Wineries & Distilleries
288.0,Carysil,1065.8,28.19,3031.44,0.29,32.05,37.73,262.14,15.49,18.0,17.43,5.0,4.75,CARYSIL,"Furnishings, Fixtures & Appliances"
289.0,Assoc.Alcohols,645.5,15.68,1296.1,0.31,17.92,-24.26,280.86,5.31,17.99,17.88,1.82,2.19,ASALCBR,Beverages - Wineries & Distilleries
290.0,G M Breweries,977.05,13.21,2232.3,0.91,37.74,45.94,199.58,22.55,17.96,16.89,2.08,2.19,GMBREW,Beverages - Wineries & Distilleries
291.0,Choice Intl.,753.45,73.66,16785.12,0.0,60.61,22.83,309.79,32.04,17.94,15.59,10.06,1.53,CHOICEIN,Financial Services
292.0,Indigo Paints,1130.65,32.61,5396.91,0.44,42.37,60.74,350.05,18.72,17.94,15.46,4.56,4.51,INDIGOPNTS,Specialty Chemicals
293.0,Ratnamani Metals,2781.4,44.44,19495.36,0.35,107.02,-37.67,971.63,-15.63,17.91,16.5,4.75,2.04,RATNAMANI,Steel
294.0,TCPL Packaging,4114.9,30.98,3744.55,0.61,37.63,65.55,473.97,15.75,17.88,18.03,5.22,2.0,TCPLPACK,Packaging & Containers
295.0,Wipro,164.05,12.23,162495.6,6.7,3356.3,0.65,24478.6,10.59,17.84,16.85,1.94,3.52,WIPRO,Information Technology
296.0,Metropolis Healt,582.2,58.03,12077.95,0.34,56.89,25.77,450.22,16.62,17.81,19.04,8.06,5.54,METROPOLIS,Diagnostics & Research
297.0,Endurance Tech.,2648.1,37.86,37248.92,0.43,244.52,8.03,4314.89,30.01,17.8,15.39,5.42,3.65,ENDURANCE,Automobile and Auto Components
298.0,Laurus Labs,2001.0,98.82,108116.49,0.1,362.07,125.49,2026.31,29.1,17.76,16.75,20.37,4.16,LAURUSLABS,Healthcare
299.0,Lumax Industries,5760.75,26.8,5386.32,0.94,51.08,41.14,1223.23,32.6,17.71,17.28,5.87,3.65,LUMAXIND,Auto Parts
300.0,Jash Engineering,590.1,43.28,3729.09,0.28,5.09,195.48,149.88,17.45,17.68,18.36,7.15,4.86,JASH,Specialty Industrial Machinery
301.0,Mastek,1583.0,11.24,4908.29,1.5,105.88,15.02,985.25,7.71,17.67,17.46,1.64,3.52,MASTEK,Information Technology Services
302.0,L T Foods,422.4,22.86,14667.97,0.71,183.45,8.87,3151.83,27.92,17.6,15.97,3.26,2.41,LTFOODS,Fast Moving Consumer Goods
303.0,Sundram Fasten.,1178.8,39.94,24769.98,0.68,168.69,13.51,1846.07,20.39,17.6,18.29,5.8,3.65,SUNDRMFAST,Auto Parts
304.0,Indraprastha Gas,145.2,14.92,20328.02,2.23,237.92,-43.97,4586.73,17.19,17.52,19.13,1.79,1.77,IGL,Oil Gas & Consumable Fuels
305.0,Route Mobile,463.0,8.22,2917.04,2.39,68.55,17.67,1151.51,9.58,17.41,17.23,1.06,2.12,ROUTE,Telecom Services
306.0,Natco Pharma,840.8,13.19,15059.59,0.59,206.5,-57.04,735.2,-44.68,17.39,18.7,1.63,4.16,NATCOPHARM,Healthcare
307.0,TVS Motor Co.,4118.5,56.54,195664.69,0.29,1057.61,67.11,16295.52,33.46,17.37,26.08,20.46,8.02,TVSMOTOR,Automobile and Auto Components
308.0,Rainbow Child.,1374.0,48.75,13955.27,0.25,62.54,13.21,469.99,33.17,17.35,17.39,8.54,6.18,RAINBOW,Healthcare
309.0,20 Microns,218.0,11.3,769.24,0.58,17.74,5.33,244.72,-0.99,17.31,15.19,1.61,2.2,20MICRONS,Other Industrial Metals & Mining
310.0,Eveready Inds.,321.9,14.71,2339.8,0.76,36.97,2.52,407.71,8.97,17.23,24.29,3.76,3.07,EVEREADY,Electrical Equipment & Parts
311.0,Adani Power,202.6,27.35,390707.98,0.0,4866.6,41.98,18901.89,33.97,17.22,26.63,5.99,2.21,ADANIPOWER,Power
312.0,Dr Agarwal's Eye,5180.0,32.85,2503.4,0.14,23.38,35.46,142.97,22.28,17.19,27.71,7.24,6.18,DRAGARWQ,Medical Care Facilities
313.0,Kewal Kir.Cloth.,470.3,19.57,2898.22,0.84,41.0,21.48,279.0,19.36,17.19,16.96,2.98,2.45,KKCL,Apparel Manufacturing
314.0,Mahanagar Gas,1070.0,14.66,10569.2,2.79,193.7,-39.39,2371.71,13.95,17.14,20.13,1.66,1.77,MGL,Oil Gas & Consumable Fuels
315.0,Tube Investments,2521.0,77.89,48799.55,0.14,293.96,-15.25,6215.33,17.07,17.14,18.3,6.31,3.65,TIINDIA,Automobile and Auto Components
316.0,Aditya Vision,619.95,57.13,8005.9,0.2,77.22,39.99,1192.68,26.85,17.08,25.19,11.63,4.01,AVL,Specialty Retail
317.0,Sheetal Cool,635.0,32.12,666.75,0.0,6.99,30.9,132.64,17.48,17.0,18.06,4.26,3.96,SCPL,Packaged Foods
318.0,Honeywell Auto,33962.4,53.66,30022.76,0.33,150.7,20.95,1204.4,1.8,16.95,15.95,6.74,4.86,HONAUT,Capital Goods
319.0,TVS Holdings,12555.15,12.77,25401.7,0.67,1173.58,81.87,17076.18,34.01,16.95,20.49,3.92,0.77,TVSHLTD,Auto Parts
320.0,Sarda Energy,493.65,15.48,17395.33,0.4,478.13,5.5,1608.04,-1.54,16.87,15.65,2.41,1.97,SARDAEN,Metals & Mining
321.0,Nucleus Soft.,683.3,15.72,1798.8,1.84,23.87,-54.2,210.43,-3.35,16.83,15.33,1.97,1.96,NUCLEUS,Software - Application
322.0,Firstsour.Solu.,259.55,23.05,18350.93,2.13,165.92,30.01,2724.87,22.87,16.8,15.54,4.26,4.08,FSL,Services
323.0,S P I C,64.86,6.47,1320.8,3.11,60.18,-9.79,848.81,8.73,16.77,18.32,0.96,1.82,SPIC,Agricultural Inputs
324.0,Amines & Plast.,163.1,23.26,897.38,0.3,9.47,27.46,150.53,7.3,16.73,18.64,3.07,1.3,AMNPLST,Chemicals
325.0,NGL Fine Chem,2924.95,35.83,1807.59,0.06,16.45,115.31,136.71,35.54,16.69,17.78,5.63,4.16,NGLFINE,Drug Manufacturers - General
326.0,SBC Exports,52.71,73.95,2510.0,0.0,9.43,269.8,106.04,72.82,16.67,22.74,33.28,2.45,SBC,Conglomerates
327.0,Alkyl Amines,1845.25,41.9,9438.15,0.55,94.63,91.4,528.01,30.2,16.64,20.88,6.09,2.89,ALKYLAMINE,Specialty Chemicals
328.0,RACL Geartech,1682.6,42.0,1983.48,0.09,8.77,5.79,127.63,27.74,16.55,18.58,5.62,3.65,RACLGEAR,Auto Parts
329.0,Control Print,594.6,24.44,951.02,1.69,3.92,-39.45,115.56,3.84,16.45,16.76,2.08,4.6,CONTROLPR,Business Equipment & Supplies
330.0,Vaibhav Global,206.4,12.12,3462.74,2.87,56.38,49.83,917.07,12.7,16.43,17.77,2.07,3.32,VAIBHAVGBL,Luxury Goods
331.0,Sun TV Network,513.05,12.81,20218.49,2.41,619.07,16.96,1457.88,12.99,16.41,19.57,1.62,0.64,SUNTV,Media Entertainment & Publication
332.0,Vishnu Chemicals,696.9,31.35,4691.2,0.04,39.64,23.03,433.41,24.93,16.35,18.97,4.43,2.89,VISHNU,Specialty Chemicals
333.0,Technocraf.Inds.,3000.0,20.03,6801.87,0.66,137.75,68.38,804.97,27.2,16.34,16.35,3.37,2.04,TIIL,Tools & Accessories
334.0,Dolat Algotech,67.5,8.26,1187.99,0.15,53.82,38.68,114.25,37.37,16.32,24.25,1.05,2.21,DOLATALGO,Capital Markets
335.0,Lincoln Pharma.,590.25,12.29,1182.27,0.3,36.23,30.89,177.28,15.06,16.27,15.65,1.57,4.16,LINCOLN,Drug Manufacturers - Specialty & Generic
336.0,Gravita India,1498.1,28.18,11057.22,0.42,106.37,14.08,1475.06,41.84,16.21,23.12,4.55,2.2,GRAVITA,Metals & Mining
337.0,Bharat Rasayan,1100.0,13.19,1828.38,0.04,36.64,-32.66,338.16,-10.4,16.08,18.5,1.48,2.36,BHARATRAS,Agricultural Inputs
338.0,Vedanta,265.7,9.5,103899.08,12.73,7918.0,143.61,24205.0,53.64,16.08,21.25,2.1,5.46,VEDL,Metals & Mining
