S.No.,Company,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,ROE 10Yr  %,CMP / BV,Ind PBV,Symbol,Industry
39.0,Infosys,999.0,13.11,405421.84,4.88,7775.0,12.25,48211.0,14.03,39.95,27.85,4.42,3.52,INFY,Information Technology
40.0,Natl. Aluminium,358.5,9.74,65843.23,3.14,2003.14,90.87,5302.38,39.28,39.59,17.05,3.11,2.65,NATIONALUM,Metals & Mining
41.0,D.P. Abhushan,1416.2,13.47,3232.87,0.0,64.45,76.96,852.4,57.74,39.57,34.45,5.11,3.32,DPABHUSHAN,Luxury Goods
42.0,Cummins India,4953.6,56.26,137313.78,1.32,609.3,2.54,3426.01,17.86,39.5,22.2,16.21,6.48,CUMMINSIND,Capital Goods
43.0,K.P. Energy,222.5,8.28,1508.53,0.41,26.08,2.6,519.46,136.61,39.22,37.06,2.88,1.83,KPEL,Engineering & Construction
44.0,ITC,269.0,17.14,337071.02,5.38,4508.79,-22.0,19114.37,-11.07,38.91,27.98,4.66,4.63,ITC,Fast Moving Consumer Goods
45.0,MPS,2650.95,24.78,4534.66,3.14,50.39,41.19,224.24,20.38,38.72,22.04,7.63,1.48,MPSLTD,Publishing
46.0,Solar Industries,19612.9,89.18,177477.19,0.06,666.37,92.66,3668.2,70.26,38.08,28.88,28.2,8.35,SOLARINDS,Chemicals
47.0,R M Drip & Sprin,23.52,28.56,1007.2,0.13,5.35,0.75,40.34,32.35,37.91,24.57,9.08,2.31,RMDRIP,Farm & Heavy Construction Machinery
48.0,Shukra Pharma.,55.75,68.17,2457.44,0.02,15.03,1359.22,23.52,336.36,36.91,19.64,27.21,4.16,SHUKRAPHAR,Drug Manufacturers - Specialty & Generic
49.0,Gokul Agro,221.55,15.5,6537.66,0.0,122.64,71.26,5281.95,7.26,36.69,22.43,4.67,1.93,GOKULAGRO,Packaged Foods
50.0,Jyoti Resins,836.9,15.57,1004.28,1.07,11.75,-32.39,87.71,16.79,36.46,37.22,3.46,2.89,JYOTIRES,Specialty Chemicals
51.0,Bharat Electron,392.5,46.73,286908.85,0.64,1054.53,8.7,5546.98,24.94,36.44,23.51,11.83,9.39,BEL,Capital Goods
52.0,Vikram Thermo,427.85,30.59,1341.65,0.3,13.28,67.25,37.87,32.41,36.19,17.2,8.54,1.3,530477,Chemicals
53.0,Mazagon Dock,2196.0,31.04,88582.24,0.82,550.46,21.51,2942.7,12.08,35.98,25.53,9.06,8.11,MAZDOCK,Capital Goods
54.0,Indrapr.Medical,366.95,17.91,3363.91,1.1,55.85,8.53,406.15,11.26,35.75,21.19,4.53,6.18,INDRAMEDCO,Medical Care Facilities
55.0,Manorama Indust.,1877.15,44.88,11849.01,0.04,81.59,61.31,403.96,39.51,35.41,23.76,16.14,2.9,MANORAMA,Packaged Foods
56.0,Thyrocare Tech.,564.85,49.72,8990.44,1.64,51.33,34.06,240.02,24.34,35.38,20.6,15.36,5.54,THYROCARE,Diagnostics & Research
57.0,Hero Motocorp,5353.1,19.35,107137.59,3.45,1417.93,-17.18,13126.35,34.94,35.22,23.28,4.89,8.02,HEROMOTOCO,Automobile and Auto Components
58.0,Coal India,425.2,8.3,262039.25,6.25,8849.81,0.63,46254.8,7.77,34.97,42.81,2.2,2.01,COALINDIA,Oil Gas & Consumable Fuels
59.0,C P C L,1372.0,4.91,20430.61,4.52,1031.35,2671.95,27369.27,84.77,34.94,23.14,1.88,1.84,CHENNPETRO,Oil Gas & Consumable Fuels
60.0,Wealth First Por,832.1,26.83,886.6,1.07,10.43,-35.28,14.32,-42.28,34.63,29.03,5.89,2.3,WEALTH,Capital Markets
61.0,Sika Interplant,1045.4,63.91,2216.34,0.34,8.4,-18.84,42.86,-36.98,34.56,17.63,13.5,9.39,SIKA,Aerospace & Defense
62.0,Ajanta Pharma,3550.0,39.06,44360.46,0.91,334.22,30.89,1625.96,24.82,34.51,23.48,9.8,4.16,AJANTPHARM,Healthcare
63.0,Sharda Motor,956.45,16.38,5490.8,2.09,86.53,4.61,1011.07,33.7,34.47,25.5,4.13,3.65,SHARDAMOTR,Auto Parts
64.0,eClerx Services,1904.1,24.6,17908.18,0.05,164.24,15.99,1152.36,23.31,34.42,24.1,7.0,4.08,ECLERX,Services
65.0,Persistent Systems,5360.0,42.52,84554.0,0.75,483.04,13.67,4303.23,29.09,34.36,21.95,10.73,3.52,PERSISTENT,Information Technology
66.0,Triveni Turbine,557.3,51.06,17716.51,0.76,51.1,-20.78,442.7,19.23,34.12,24.2,12.28,5.21,TRITURBINE,Capital Goods
67.0,Solex Energy,704.25,10.33,760.74,0.08,7.15,-68.18,259.42,4.1,34.04,32.4,3.14,4.23,SOLEX,Solar
68.0,Cupid,269.95,264.15,36299.17,0.0,44.16,194.01,156.99,142.49,33.88,22.1,80.58,8.68,CUPID,Household & Personal Products
69.0,KSE,180.8,12.55,578.56,6.91,0.94,-98.44,453.67,9.06,33.55,21.87,1.65,3.11,KSE,Packaged Foods
70.0,Foseco Crucible (India),1960.0,27.92,1097.6,0.63,10.29,92.03,48.68,14.43,33.24,17.7,7.87,2.48,523160,Refractories
71.0,Polycab India,8400.0,44.14,126585.11,0.56,796.66,32.46,8209.73,39.01,33.21,20.76,10.41,4.37,POLYCAB,Capital Goods
72.0,Prec. Wires (I),502.6,52.52,9187.92,0.26,46.45,71.47,1779.24,59.49,32.94,16.47,11.88,3.33,PRECWIRE,Electrical Equipment & Parts
73.0,Cemindia Project,1256.5,35.87,21585.14,0.24,140.83,2.62,2720.92,5.61,32.76,15.05,8.99,1.71,CEMPRO,Construction
74.0,CRISIL,4524.95,37.4,33090.96,0.56,216.46,26.16,1075.39,27.56,32.55,28.8,10.09,2.3,CRISIL,Financial Services
75.0,Steelcast,375.0,41.84,3795.02,0.48,23.71,19.27,124.82,16.99,32.3,23.31,9.61,3.98,STEELCAS,Steel
76.0,Aditya AMC,1015.4,29.11,29383.15,2.48,309.49,11.68,462.96,3.48,32.23,29.36,7.27,6.72,ABSLAMC,Financial Services
77.0,C D S L,1317.4,58.44,27533.66,0.97,117.67,14.8,292.76,13.1,31.98,25.58,14.07,9.26,CDSL,Financial Services
78.0,Hind.Aeronautics,4800.0,34.46,321011.98,0.94,1589.66,14.88,5515.17,14.45,31.97,25.0,7.83,9.39,HAL,Capital Goods
79.0,Apar Inds.,17781.7,61.74,74456.12,0.34,467.45,77.8,6591.06,29.13,31.81,19.96,13.21,4.23,APARINDS,Capital Goods
80.0,APL Apollo Tubes,2206.0,49.86,61251.46,0.39,263.11,10.94,5606.71,8.45,31.75,22.89,11.55,2.04,APLAPOLLO,Capital Goods
81.0,Action Const.Eq.,1228.0,33.53,14623.42,0.16,119.49,22.28,785.68,20.49,31.63,21.32,7.17,5.27,ACE,Capital Goods
