SYMBOL,AVG_30D_VOLUME
ARFIN,1460861.0
ARHAM,38000.0
ARIES,7218.0
ARIHANT,12691.0
ARIHANTCAP,140373.0
ARIHANTSUP,7987.0
ARIS,567764.0
ARKADE,658691.0
ARMANFIN,25496.0
ARMOUR,16000.0
AROGRANITE,18129.0
ARROWGREEN,11453.0
ARSHIYA,98943.0
ARSSBL,124829.0
ARTEMISMED,313903.0
ARTNIRMAN,2054.0
ARUNAYA,6000.0
ARVEE,801.0
ARVIND,570285.0
ARVINDFASN,173396.0
ARVINDPORT,27000.0
ARVSMART,8704.0
ASAHIINDIA,116454.0
ASAHISONG,51277.0
ASAL,15733.0
ASALCBR,29193.0
ASHALOG,5000.0
ASHAPURMIN,522625.0
ASHIANA,77628.0
ASHIKAG,583994.0
ASHIMASYN,122657.0
ASHOKA,689411.0
ASHOKAMET,23503.0
ASHOKLEY,47542706.0
ASHWINI,33000.0
ASIANENE,371042.0
ASIANHOTNR,14658.0
ASIANPAINT,891738.0
ASIANTILES,10893154.0
ASKAUTOLTD,306260.0
ASMS,140408.0
ASPINWALL,4337.0
ASPIRE,12000.0
ASTAR,53.0
ASTEC,91939.0
ASTERDM,411488.0
ASTRAL,349000.0
ASTRAMICRO,4927414.0
ASTRAZEN,136143.0
ASTRON,50885.0
ATALREAL,11848787.0
ATAM,5888.0
ATCENERGY,7200.0
ATGL,460460.0
ATHERENERG,3182495.0
ATL,71709.0
ATLANTAA,13058.0
ATLANTAELE,90064.0
ATLASCYCLE,1443.0
ATLPP,245.0
ATMASTCO,10000.0
ATUL,48819.0
ATULAUTO,748008.0
AUBANK,2215780.0
AURIONPRO,139129.0
AUROIMPEX,19200.0
AUROPHARMA,440498.0
AURUM,136391.0
AURUS,17698.0
AUSL,2000.0
AUSOMENT,5889.0
AUTOAXLES,10723.0
AUTOBEES,548953.0
AUTOIETF,3163528.0
AUTOIND,20377.0
AVADHSUGAR,14710.0
AVALON,731668.0
AVANA,18000.0
AVANTEL,659702.0
AVANTIFEED,872732.0
AVATAR,30000.0
AVG,14452.0
AVIANSH,1000.0
AVIENCE,66000.0
AVL,646595.0
AVONMORE,453758.0
AVPINFRA,29600.0
AVROIND,134828.0
AVTNPL,31090.0
AWFIS,133593.0
AWHCL,56263.0
AWL,13726473.0
AXISBANK,7487936.0
AXISCADES,84180.0
AXITA,891372.0
AYE,870495.0
AYMSYNTEX,72542.0
AZAD,287974.0
BABAFP,1600.0
BAFNAPH,1305.0
BAGDIGITAL,3200.0
BAGFILMS,49569.0
BAGMANE,1254884.0
BAHETI,24750.0
BAIDFIN,52487.0
BAJAJ-AUTO,214380.0
BAJAJCON,621476.0
BAJAJELEC,96908.0
BAJAJFINSV,3731886.0
BAJAJHCARE,343552.0
BAJAJHFL,6273809.0
BAJAJHIND,2460458.0
BAJAJHLDNG,89978.0
BAJAJINDEF,15670.0
BAJAJST,16675.0
BAJEL,73243.0
BAJFINANCE,40814590.0
BALAJEE,16728.0
BALAJIPHOS,4000.0
BALAJITELE,38314.0
BALAMINES,198007.0
BALAXI,36557.0
BALKRISHNA,26709.0
BALKRISIND,3395027.0
BALMLAWRIE,293436.0
BALPHARMA,17364.0
BALRAMCHIN,526328.0
BALUFORGE,303452.0
BANARBEADS,3714.0
BANARISUG,104.0
BANCOINDIA,98175.0
BANDHANBNK,7033133.0
BANG,14628.0
BANK10ADD,203587.0
BANK10BETF,933.0
BANKA,805.0
BANKADD,6254.0
BANKBARODA,7775343.0
BANKBEES,375779.0
BANKBETA,835520.0
BANKBETF,13792.0
BANKETF,11714.0
BANKIETF,159912.0
BANKINDIA,5768166.0
BANKNIFTY1,167373.0
BANKPSU,13859.0
BANSALWIRE,71955.0
BANSWRAS,117294.0
BARFLEX,4000.0
BASF,17332.0
BASILIC,11700.0
BASML,31490.0
BATAINDIA,133918.0
BATLIBOI,10359.0
BAWEJA,24000.0
BAYERCROP,27626.0
BBETF0432,834.0
BBL,35955.0
BBNPNBETF,295.0
BBNPPGOLD,46017.0
BBOX,825340.0
BBTC,20919.0
BBTCL,154963.0
BCG,5026553.0
BCLIND,2439931.0
BCONCEPTS,3488.0
BCPL,10544.0
BDL,381704.0
BEACON,17000.0
BEARDSELL,10350.0
BECTORFOOD,3035400.0
BEDMUTHA,1915.0
BEEKAY,1117.0
BEL,17114563.0
BELLACASA,4016.0
BELRISE,9507182.0
BEML,174492.0
BENGALASM,203.0
BEPL,2212524.0
BERGEPAINT,241120.0
BESTAGRO,38044658.0
BETA,25918.0
BEWLTD,27500.0
BFINVEST,29486.0
BFSI,233417.0
BFUTILITIE,39159.0
BGRENERGY,103893.0
BHADORA,3600.0
BHAGCHEM,433762.0
BHAGERIA,21706.0
BHAGYANGR,73584.0
BHANDARI,55566.0
BHARATCOAL,7259939.0
BHARATFORG,952103.0
BHARATGEAR,8188.0
BHARATRAS,10007.0
BHARATSE,695433.0
BHARATWIRE,92829.0
BHARTIARTL,6529385.0
BHARTIHEXA,185923.0
BHEL,6869187.0
BI,5018.0
BIGBLOC,58213.0
BIKAJI,35951.0
BIKEWO,128000.0
BIL,2682.0
BILVYAPAR,2056.0
BIMETAL,894.0
BIOCON,2304756.0
BIOFILCHEM,4753.0
BIOPOL,74400.0
BIRET,220924.0
BIRLACABLE,51885.0
BIRLACORPN,92599.0
BIRLAMONEY,45563.0
BIRLANU,5477.0
BIRLAPREC,35456.0
BLACKBUCK,440443.0
BLACKROSE,22478.0
BLAL,76159.0
BLBLIMITED,55515.0
BLIL,48983.0
BLISSGVS,289967.0
